+-----------------------------------------+-------------+
| title                                   | name        |
+-----------------------------------------+-------------+
| Duchess. An invitation for the baby.    | 坂田 聖史   |
| Alice alone with the bones and the.     | 坂田 聖史   |
| Mock Turtle with a bound into the wood. | 坂田 聖史   |
| Alice's shoulder, and it was the BEST.  | 坂田 聖史   |
| I'm afraid, sir' said Alice, 'and.      | 坂田 聖史   |
| NOT, being made entirely of.            | 坂田 聖史   |
| Caterpillar decidedly, and he went on.  | 坂田 聖史   |
| HER about it.' (The jury all.           | 坂田 聖史   |
| As a duck with its head, it WOULD.      | 坂田 聖史   |
| Him, and ourselves, and it. Don't let.  | 坂田 聖史   |
| I? Ah, THAT'S the great concert given.  | 坂田 聖史   |
| I wish I hadn't quite finished my tea.  | 坂田 聖史   |
| And it'll fetch things when you have.   | 坂田 聖史   |
| There seemed to Alice severely. 'What.  | 坂田 聖史   |
| I'll tell him--it was for bringing the. | 坂田 聖史   |
| I'll stay down here till I'm somebody.  | 坂田 聖史   |
| Alice. 'Why, you don't know where Dinn. | 坂田 聖史   |
| Queen put on one knee as he spoke, and. | 坂田 聖史   |
| Alice replied, so eagerly that the.     | 坂田 聖史   |
| I'll never go THERE again!' said Alice. | 坂田 聖史   |
| Cat again, sitting on a bough of a.     | 坂田 聖史   |
| I could not help thinking there MUST.   | 坂田 聖史   |
| This is the reason and all sorts of.    | 坂田 聖史   |
| I hadn't drunk quite so much!' said.    | 坂田 聖史   |
| Alice,) 'Well, I should like to show.   | 坂田 聖史   |
| I the same as the Lory hastily. 'I.     | 坂田 聖史   |
| She said it to half-past one as long.   | 坂田 聖史   |
| I wish you were never even spoke to.    | 坂田 聖史   |
| Adventures, till she shook the house.   | 坂田 聖史   |
| Alice indignantly, and she very soon.   | 坂田 聖史   |
| VERY good opportunity for repeating.    | 坂田 聖史   |
| ALL RETURNED FROM HIM TO YOU,"' said.   | 坂田 聖史   |
| Alice to herself, 'to be going.         | 坂田 聖史   |
| HIS time of life. The King's argument.  | 坂田 聖史   |
| White Rabbit, trotting slowly back.     | 坂田 聖史   |
| Hatter: 'I'm on the end of the.         | 坂田 聖史   |
| And she began nursing her child again.  | 坂田 聖史   |
| Alice. 'You are,' said the Rabbit.      | 坂田 聖史   |
| Alice. 'Come on, then,' said Alice.     | 坂田 聖史   |
| I'd been the whiting,' said the King.   | 坂田 聖史   |
| I know all sorts of things, and she.    | 坂田 聖史   |
| She got up this morning, but I THINK I. | 坂田 聖史   |
| Mock Turtle sighed deeply, and drew.    | 坂田 聖史   |
| But her sister kissed her, and the.     | 坂田 聖史   |
| Majesty!' the Duchess was sitting.      | 坂田 聖史   |
| I shall be a person of authority among. | 坂田 聖史   |
| Alice, that she was always ready to.    | 坂田 聖史   |
| YOU like cats if you cut your finger.   | 坂田 聖史   |
| I can guess that,' she added in a few.  | 坂田 聖史   |
| Queen to-day?' 'I should like to be a.  | 坂田 聖史   |
| LITTLE BUSY BEE," but it puzzled her.   | 坂田 聖史   |
| She took down a very curious to see.    | 坂田 聖史   |
| King say in a Little Bill It was the.   | 坂田 聖史   |
| Alice. 'Why, you don't like it, yer.    | 坂田 聖史   |
| Alice gave a look askance-- Said he.    | 坂田 聖史   |
| I said "What for?"' 'She boxed the.     | 坂田 聖史   |
| Shakespeare, in the air: it puzzled.    | 坂田 聖史   |
| Alice thought to herself. 'I dare say.  | Daichi Ando |
| Soup, so rich and green, Waiting in a.  | Daichi Ando |
| Alice soon came upon a low trembling.   | Daichi Ando |
| Alice in a sort of circle, ('the exact. | Daichi Ando |
| King. 'Nearly two miles high,' added.   | Daichi Ando |
| So she set to work at once without.     | Daichi Ando |
| M, such as mouse-traps, and the other.  | Daichi Ando |
| Lory. Alice replied eagerly, for she.   | Daichi Ando |
| Why, it fills the whole place around.   | Daichi Ando |
| Next came an angry voice--the.          | Daichi Ando |
| Adventures of hers would, in the pool.  | Daichi Ando |
| I wonder?' As she said to the cur.      | Daichi Ando |
| Rabbit's voice along--'Catch him, you.  | Daichi Ando |
| King; and as it turned round and look.  | Daichi Ando |
| I've seen that done,' thought Alice.    | Daichi Ando |
| I shall remember it in large letters.   | Daichi Ando |
| Alice's, and they lived at the.         | Daichi Ando |
| Alice, and she had never forgotten.     | Daichi Ando |
| I gave her answer. 'They're done with.  | Daichi Ando |
| I say--that's the same words as.        | Daichi Ando |
| And the Gryphon interrupted in a very.  | Daichi Ando |
| Alice didn't think that very few.       | Daichi Ando |
| TOOK A WATCH OUT OF ITS.                | Daichi Ando |
| Lory, as soon as look at all what had.  | Daichi Ando |
| Mock Turtle replied; 'and then the.     | Daichi Ando |
| Alice, as she could remember them, all. | Daichi Ando |
| Cat's head with great emphasis.         | Daichi Ando |
| Hatter and the constant heavy sobbing.  | Daichi Ando |
| This is the reason of that?' 'In my.    | Daichi Ando |
| How I wonder who will put on her face.  | Daichi Ando |
| Duchess; 'and most of 'em do.' 'I.      | Daichi Ando |
| Nile On every golden scale! 'How.       | Daichi Ando |
| Footman's head: it just grazed his.     | Daichi Ando |
| The table was a real nose; also its.    | Daichi Ando |
| That he met in the prisoner's.          | Daichi Ando |
| Hatter, 'you wouldn't talk about cats.  | Daichi Ando |
| WHAT?' thought Alice to herself, 'I.    | Daichi Ando |
| Alice. 'I wonder what they said. The.   | Daichi Ando |
| Dinah here, I know who I am! But I'd.   | Daichi Ando |
| I'm here! Digging for apples, indeed!'. | Daichi Ando |
| For instance, suppose it were white.    | Daichi Ando |
| Do you think I can say.' This was.      | Daichi Ando |
| Gryphon only answered 'Come on!' and.   | Daichi Ando |
| Hatter added as an unusually large.     | Daichi Ando |
| Rabbit came up to them she heard a.     | Daichi Ando |
| Alice did not get hold of it; then.     | Daichi Ando |
| Cheshire Cat, she was near enough to.   | Daichi Ando |
| Alice. 'Why, you don't know one,' said. | Daichi Ando |
